Page,Family,EnglishCommon,LatinSpecies,Length,Voice,Notes,,
474,Parulidae,Orange-crowned Warbler,Oreothlypis celata,5,"Song a fast trill of fairly flat notes; individual notes not very distinct, last few notes on lower pitch ""tititititititititutuu""; notes generally downslurred but so sharp this is hard to hear. Taiga song trill soft and slow (averages 11 notes/sec); Pacific song trill fast and hard (averages 17 notes/sec); Channel Islands song trill slower and lower-pitched than Pacific. Call distinctive: a simple, clear, high, sharp chip very similar to Field Sparrow but a little richer. Flight call a short, high, clear or slightly husky, rising ""seet"".",,,
475,Parulidae,Cresent-chested Warbler,Oreothlypis superciliosa,4.5,"Song a short, mechanical rattle or buzzy trill, all on one pitch and sustained less than one second, fading slightly at end. Call a sharp ""tsik"".",,,
475,Parulidae,Tennessee Warbler,Oreothypis peregrina,4.75,"Song a trill of sharp, spitting, high chips, usually in three parts each with slightly different pitch and tempo ""tip tip tip tip teepit teepit teepit teepit ti ti ti ti ti ti ti"", the final series generally faster. Call a sharp, high, smacking ""stik"". Flight call a slightly husky ""tseet"".",,,
476,Parulidae,Lucy's Warbler,Oreothlypis luciae,4.25,"Song a simple trill with several pitch changes; higher-pitched than Virginia's with simpler, sharper notes. More complex songs of clear, high whistles ""sweeo sweeo sweeo seet seet seet set sit it it it it""; like unaccented songs of Yellow but usually simpler, more rapid. Call a slightly, husky, rattling ""vink"". Flight call a high, clear, weak ""tsiit"".",,,
476,Parulidae,Colima Warbler,Oreothlypis crissalis,5.5,"Song a hard, chattering, wavering trill, sometimes with high, clear ""tew"" note at end; notes clearly upslurred, unlike Orange-crowned and most other simllar species. Song usually rises slightly near end then drops ""tetetetetetetetetititi-tew"". Call similar to close relatives (Virginia's Nashville, Lucy's) but may be huskier. Flight call a high, rising ""tseet"".",,,
477,Parulidae,Virginia's Warbler,Oreothlypis virginae,4.75,"Song a fairly weak, clear warble; unaccented, not crisply delivered, usually two-part; resembles some songs of Western Nashville but lower and less structured; some also resemble some songs of Yellow. Often a three-part ""seedi seedi seedi seedi silp silp suwi suwi"". Calls like Nashville.",,,
477,Parulidae,Nashville Warbler,Oreothlypis ruficapilla,4.75,"Song of Eastern a fairly slow, simple, two-part, musical trill ""seeta seeta seeta seeta pli pli pli pli"" softer than Tennessee. Alternate song a series of single or double notes irregularly descending in pith ""tee tee tee tee tay tay tay tay tati toti toti to"". Call a sharp, rattling, metallic ""spink"" like a small Northern Waterthrush. Flight call a high, clear ""swit"".",,,
478,Parulidae,Connecticut Warbler,Oporornis agilis,5.75,"Song of series of four-syllable phrases with strong, clear, chirping quality like Northern Waterthrush ""tup-a-teepo tu-a-teepo tupateep-tupateepo""; accelerating tempo unlike all similar species. Call rarely heard; a rather soft ""pwik"". Flight call a rough buzz like many Setophaga warblers.",,,
478,Parulidae,Kentucky Warbler,Geothlypis formosa,5.25,"Song a rolling series of vaguely two-syllable phrases ""prr-reet prr-reet prr-reet prr-reet prr-reet prr-reet"" similar to Carolina Wren or Overbird; distinguished by rich quality, steady rolling tempo, and lack of clearly defined syllables. Call a low hollow ""chok"" to higher, sharper ""chuk"" when agitated. Flight call a short, rough buzz ""drrt"".",,,
479,Parulidae,MacGillivray's Warbler,Geothlypis tolmiei,5.25,"Song a short, rhythmic series like Mourning but average higher-pitched and less rich in quality, more buzzy and less rolling; final phrases usually buzzy and now lower than rest of song. Some songs can be very similar. Call a hard, dry ""chik"" or ""twik"" sharper than Mourning; similar to Common Yellowthroat. Flght call flatter and more scratchy than Mourning.",,,
480,Parulidae,Common Yellowthroat,Geothlypis trichas,5,"Song a gentle, musical whistle in repeated phrases of three to five syllables ""wichety wichety wichety""; many variations in pattern but pitch, quality, and rhythmic pattern distinctive. Eastern population has softer, less forceful song and averages more syllables per phrase than all birds to the west (4-5 vs. 2-3 in West). Staccato rattle on one pitch often heard in breeding season (compare Sedge Wren). Call a dry ""chedp""; variable from sharp ""pik"" to softer, longer, descending ""jierrk"". Flight call a short, nasal, electric buzz ""dzik"".",,,
481,Parulidae,Gray-crowned Yellowthroat,Geothlypis poliocephala,5.5,"Song bunting-like: a bright, varied warble but somewhat halting and undefined. Calls include a nasal, grating ""cher-dlee""; also a series of descending, plaintive whistles ""teeu teeu teeu"".",,,
481,Parulidae,Hooded Warbler,Setophaga citrina,5.25,"Song loud, clear, and musical, without sharp notes: a short series of slurred notes with emphatic end ""tawee tawee tawee-teeoo"" or ""tew tew tew teew teo twee tweee teew"". Song most like Chestnut-sided, Magnolia, and Swainson's. Call a flat, squeaky ""tiip"". Flight call a clear, rising ""tsiip"" like American Redstart.",,,
482,Parulidae,American Redstart,Setophaga ruticilla,5.25,"Song of high and rather sharp notes: one distinctive pattern with emphatic buzzy, down-slurred ending ""tsee tsee tsee tsee tzirr""; also a softer, lower ""tseeta tseeta tseeta tseet"" and many variations. Often alternates between two different songs during bouts of singing. Call a clear, high, squeaky chip. Flight call a high, squeaky, rising ""tsweet"".",,,
482,Parulidae,Cape May Warbler,Stophaga tigrina,5,"Song very high and thin; may sound slightly buzzy; four to seven upslurred notes (5/sec) ""seet seet seet seet seet"" or slightly lower-pitchd, faster, more complex ""seeo seeo seeo seeo seeo"" or ""witse witse witse wit"". Call a very high, hard, short ""ti"". Flight call a very high, slightly buzzy ""tzew"" or ""tzee"" slightly descending.",,,
483,Parulidae,Kirtland's Warbler,Setophaga kirtlandii,5.75,"Song of low, rich notes; loud and emphatic, rising in pitch and intensity ""flip lip lip-lip-tip-CHIDIP"". Alternate song a short chatter reminiscent of House Wren. Call a strong, clear, descending chip like Ovenbird. Flight call a short, high buzz.",,,
483,Parulidae,Cerulean Warbler,Setophaga cerulea,4.75,"Song a high, musical buzz ""tzeedi tzeedi tzeedi ti ti ti tzeeeeee""; generaly three-part, each part higher than the preceding one; more musical than parulas with no slurred phrases; pattern very similar to Blackburnian but with buzzy quality. Call a clear chip. Flight call a short buzz ""dzzt"".",,,
484,Parulidae,Northern Parula,Setophaga americana,4.5,"Song as rather unmusical, rising buzz usually with distinctive, sharp final note ""zeeeeeeeeeeee-tsup"" or ""zidd zid zid zeeeeee tsup"" (final note lower and buzzy in western birds). Call a surprisingly strong, clear chip. Flight call a high, clear, descending, frequently repeated ""tsif"" or ""tsiip"".",,,
484,Parulidae,Tropical Parula,Setophaga pitiayumi,4.5,"Song essentially identical to Northern, but final note usually buzzy (like western populations of Northern); may be slightly higher, more insectlike overall. Call and flight call similar to Northern.",,,
485,Parulidae,Magnolia Warbler,Setophaga magnolia,5,"Song short, musical but rather weak and simple ""sweeter sweeter SWEETEST""; variable; most similar to Hooded but much less emphatic. Call a unique, tinny, hoarse ""vint"" or ""chuif"". Flight call a very high, weak, lightly trilled, rather soft ""zzip"".",,,
485,Parulidae,Blackburnian Warbler,Setophaga fusca,5,"Song has sharp, dry quality and usually includes some incredibly high notes ""tsi tsi tsi tsi tsi ti ti ti ti ti seeeeee"" ending extremely high and thin. Alternate song very high, slow, rising series with rattling quality ""tseekut tseekut tseekut tsee""; compare Golden-crowned Kinglet. Call a sharp ""tsick"". Flight call a high, thin buzz.",,,
486,Parulidae,Yellow Warbler,Setophaga petechia,5,"Song of sweet, high, clear notes: sharp upslurs followed by sharp downslurs, then emphatic ending ""sweet sweet sweet ti ti ti to soo"" or ""swee swee ti ti ti swee""; variable in details of phrasing. Alternate song longer and less structured without emphatic ending ""seedl seedl seedl seedl sitew sitew sitew""; variable, resembles Chestnut-sided. Call a clear, loud chip. Flight call a high, clear trill ""tzip"".",,,
487,Parulidae,Chestnut-sided Warbler,Setophaga pensylvanica,5,"Song clear, musical with emphatic ending ""witew witew witew WEECHEW"" (compared Hooded). Alternate song longer, rambling like Yellow. Both song types average lower-pitched than Yellow; can be matched by some Yellow. Call a low, flat ""chidp"". Flight call a rather low, buzzy, nasal ""jrrt"".",,,
487,Parulidae,Black-throated Blue Warbler,Setophaga caerulescens,5.25,"Song a husky but musical buzz, lazy and drawling; several introductory notes followed by rather harsh, slow, rising buzz ""zheew zheew zheeeeeee"" or ""zo zo zo zo zo zo zo zeeeeeee"". Call a very high, sharp smack ""stip"" like juncos. Flight call a sharp, dry ""twik"" reminiscent of soft, sharp notes of cardinals; given frequently.",,,
488,Parulidae,Blackpoll Warbler,Setophaga striata,5.5,"Song a very high, rapid series of short notes all on one pitch, strongest in middle ""sisisisisiSISISISISIsisisisisis"". Some give a very rapid, insectlike trill ""tttttTTTTTTtttttt"". Call a sharp, clear chip. Flight call a high, buzz similar to other Setophaga warblers.",,,
488,Parulidae,Bay-breasted Warbler,Setophaga castanea,5.5,"Song high and thin but musical like Black-and-white; usually short with poorly defined syllables all on one pitch or slightly rising overall ""se-seew se-seew se-seew"" or ""teete teete teete tee tee tee"". Call a clear chip. Flight call a short buzz like other Setophaga warblers.",,,
489,Parulidae,Pine Warbler,Setophaga pinus,5.5,"Song a rapid trill of simple upslurred notes (similar to but more musical than Chipping Sparrow). Also a slower trill of two-syllable, more musical whistles; whole trill slightly varying in pitch. Call a high, flat chip. Flight call a high, clear, descending ""seet"".",,,
489,Parulidae,Prairie Warbler,Setophaga discolor,4.75,"Song a series of high, fine, musical buzzes nearly always steadily rising in pitch; may be fast or slow; also series with first few notes level and later notes rising ""zooo zoo zo zozozozoZEEEET"". Call a musical chip with a hint of the huskiness of Palm. Flight call a high, slightly husky, level ""tss"".",,,
490,Parulidae,Palm Warbler,Setophaga palmarum,5.5,"Song a rather dull, uneven, buzzy trill ""zzizzizzizzizzizzi"" slightly changing in pitch and volume but overall steady; rather weak and infrequently heard. Call a sharp, husky, distinctive ""chik""; closest to Prairie but stronger, deeper. Flight call a husky ""sink"".",,,
491,Parulidae,Grace's Warbler,Setophaga graciae,5,"Song a slow, choppy trill: usually higher and faster at end, two- or three-part, downslurred ""tew tew tew tew ew tee tee tee tee""; resembles some variations of Audubon's Yellow-rumped and Virginia's Warblers, as well as Dark-eyed Junco. Call a soft chip. Flight call a very high, thin, short ""fss"".",,,
491,Parulidae,Yellow-throated Warbler,Setophaga dominica,5.5,"Song a simple and rather gentle series of sweet, clear whistles ""teedl teedl teedl teedl teedl teedl teedl tew tew twee"" steadily descending with a couple of rising notes at end; may suggest Louisiana Waterthrush or Yellow Warbler. Call a soft, clear, descending chip reminiscent of Eastern Phoebe. Flight call a high, clear ""seet"".",,,
492,Parulidae,Yellow-rumped Warbler,Setophaga coonata,5.5,"Song a clear warble, soft and rather flat, weaker at beginning and end; usually two-part wih last few phrases loweer or higher in pitch ""sidi sidi sidi sidi sidi seedl seedl seedl seedl"". Song of Myrtle averages slightly higher-pitched with shorter phrases. Call of Myrtle a low, flat ""chep"" or hard ""tep"" without rising inflection. Call of Audubon's a dry, husky ""chwit"" with slightly rising inflection. Flight call a clear rising ""svit"" or ""ssit"".",,,
493,Parulidae,Black-throated Gray Warbler,Setophaga nigrescens,5,"Song of mostly musical, buzzy notes with fast tempo and emphatic ending ""zeea zeea zeea ZEEE zaa zoo"" or simple, repeated, buzzy phrases ""zidza zidza zidza zidza"". Call a low, dull ""tip"" or ""tep"" similar to Myrtle Yellow-rumped; lower than other black-throated warblers. Flight call like Black-throated Green.",,,
494,Parulidae,Hermit Warbler,Setophaga occidentalis,5,"Song variable: a rapid series of high, buzzy phrases, typically accelerating and ending with abruptly higher or lower notes ""ze ze ze ze ze ze zee sitew""; some songs similar to Townsend's but generally softer and clearer; other songs long and repetitive ""ze ze ze zeea zeea zeea zeea ZEEA ZEEA tleep"". Calls similar to Townsend's and Black-throated Green.",,,
494,Parulidae,Townsend's Warbler,Setophaga townsendi,5,"Song a rapid series of mainly buzzy notes; variable in pattern but often rising; higher and thinner than Black-throated Gray: ""zoo zoo zoo zeeee skeea skeea"" or zi zi zi zi zi zeedl zeedl"" or ""weezy weezy weezy dzeee"". Some songs very similar to Black-throated Green. Call averages slightly sharper than other black-throated warblers. Flight call like Hermit.",,,
495,Parulidae,Golden-cheeked Warbler,Setophaga chrysoparia,5,"Song buzzy like other black-throated warblers; slightly harsher than Black-throated Green; relatively low-pitched, slow, lazy ""zrr zooo zeedl zeeee twip"" or ""brrr zweee seezle zeeeee titip"" or ""zeedl zeedl zeedl zeedl zweeee tsip"". Calls like Black-throated Green and its other close relatives.",,,
495,Parulidae,Black-throated Green Warbler,Setophaga virens,5,"Song a series of short, level buzzes; two commonly heard patterns: a rather fast ""zee zee zee zee zo zeet"" and a more relaxed ""zoooo zeee zo zo zeet""; some Townsend's songs similar. Call a sharp ""tsik"" or ""tek"" like Hermit; sharper and higher than Myrtle Yellow-rumped. Flight call a clear, high, rising ""swit""; shorter than Yellow-rumped.",,,
496,Parulidae,Wilson's Warbler,Cardellina pusilla,4.75,"Song a rapid series of 10-15 short, whistled notes ""chchchchchchchch"" with sharp, chattery quality; last few notes usually lower and faster; generally downslurred, sometimes two-syllable. Trill slower than Orange-crowned, notes sharp and clear. Call a husky, sharp ""jimp"" or ""jip"" like Pacific Wren. Flight call a clear, abrupt ""tilk"".",,,
497,Parulidae,Red-faced Warbler,Cardellina rubrifrons,5.5,"Song high, thin, sweet ""towee towee towee tsew tsew wetoo weeeeew"" with overall descending trend. Call a sharp ""tuk"" like Canada. Flight call high, sharp, slightly rattling.",,,
497,Parulidae,Canada Warbler,Cardellina canadensis,5.25,"Song of high, clear, liquid notes; varied: sputtery, descending, and ending loudly; all notes different; tempo sometimes suggests Common Yellowthroat, but erratic with scattered, sharp chips inserted. Call a sharp, dry, slightly squeaky ""tyup"". Flight call a sharp, smacking, upslurred ""chwit"".",,,
498,Parulidae,Painted Redstart,Myioborus pictus,5.2,"Song a relatively low, soft, musical warble ""che-wee che-wee weeta weeta witi wi""; phrases given in paris but in run-on tempo and with little difference between phrases. Call a loud, relatively low ""chidi-ew"" or ""bdeeyu"" reminiscent of Pine Siskin; very dissimilar to other warblers. Juvenile gives very high, thin, weak, slightly descending ""tsee"".",,,
498,Parulidae,Slate-throated Redstart,Myioborus miniatus,5.4,"Song a rapid series of sharp clear whistles, reminiscent of Yellow Warbler song but faster and weaker, much lower and faster than the song of Painted Redstart. Call a very high weak ""tsit"", very different from Painted Restart call.",,,
499,Parulidae,Rufous-capped Warbler,Basileuterus rusifrons,5.25,"Song a rapid series of chips with jumbled tempo, often accelerating; reminiscent of Rufous-crowned Sparrow. Call a hard ""chik"" often in series; also a high ""tsik"".",,,
499,Parulidae,Golden-crowned Warbler,Basileuterus culcivorus,5,"Song of clear, slurred whistles reminiscent of Hooded but not quite as emphatic. Call a hard, dry ""tek"", much like Ruby-crowned Kinglet but more musical; also a long, loose rattle.",,,
500,Parulidae,Fan-tailed Warbler,Gasileuterus lachrymosus,5.8,"Song a simple series of two-syllabled whistled phrases, sweet and gentle sounding ""tu hEEder hEEder hEEder heder hedeer"", the last note lower and downslurred. Call a long, thin, high, descending ""tseeer"".",,,
501,Parulidae,Yellow-breasted Chat,Icteria virens,7.5,"Song extremely varied: mostly simple notes repeated in slow, decelerating series or given singly but with long pause between each utterance; distinctive low, liquid whistled or harsh, rasping quality ""toop-toop-toop-toop toop toop toop; chook; terp; jedek; chrrr chrrr chrrr chrrr chrrr...""; slow series and long pauses distinctive. Often includes mimicry of other species and even mechanical sounds such as woodpecker drumming. Song of Western higher-pitched with more rapid rattle than Eastern (most rapid trill 20 notes/sec vs. 10 notes/sec for Easern). Call a harsh, nasal ""cheewb""; also a low, soft, unmusical ""tuk"" or ""ka"".",,,
502,Thraupidae,Bananaquit,Coereba flaveola,4.5,"Song of high, hissing squeaks and buzzes that sound as if they are squeezed out with great effort ""ezeereezee eyteer eyteer sizit zet""; ends with dry, insectlike crackling. Call quite warbler-like: a slightly rising, metallic ""ssint"".",,,
502,Thraupidae,Red-crested Cardinal,Paroaria coronata,7.1,"Song of rich whistled phrases, somewhat robin-like, repeated alternately with fairly long pauses between.",,,
503,Thraupidae,Western Spindalis,Spindalis zena,6.75,"Song a series of high, thin notes beginning like Black-and-white Warbler but changing to buzzier phrases. Calls varied but all very high and thin: a series of descending notes ""see see see see see""; a rather strong ""seeee""; rapid, high twittering; very high, sharp ""tit"".",,,
506,Emberizidae,White-collared Seedeater,Sporophila torqueola,4.5,"Song of high, clear, sweet whistles in series ""sweet sweet tew tew tew tew sit sit""; reminiscent of Yellow Warbler ut simpler, thinner, with jingling quality. Common call a husky, rising ""quit"" or ""quitl"" or hard, rising ""dwink"" like Bewick's Wren; also a high, clear, descending whistle ""cheew"".",,,
506,Emberizidae,Yellow-faced Grassquit,Tiaris olivaceus,4,"Song a short, very high-pitched trill on steady pitch, sometimes weak and insect-like, sometimes reminiscent of Chipping Sparrow song, but shorter and higher. Call a high sharp ""tsik"".",,,
506,Emberizidae,Black-faced Grassquit,Tiaris bicolor,4,"Song several low introductory notes followed by a pulsing high scratchy buzz ""pik, pik, pk-tzzizzizzizzizzizz"". Call a very sharp dry ""tsik"".",,,
507,Emberizidae,Olive Sparrow,Arremonops rufivirgatus,6.25,"Song an accelerating series of sharp, hard chips ending with fading trill ""tsip tsip tsiptsiptsiptiptiptptptptp"" (see Totteri's Sparrow). Call a very high, sharp, clicking ""stip"". Fight call a high, thin buzz ""seere""; towheelike but plainer and thinner.",,,
507,Emberizidae,Green-tailed Towhee,Pipilo chlorurus,7.25,"Song typically several short introductory notes followed by two or more trills ""tip seeo see tweeeee chchchch"" or ""tlip tseet-seetsee tlitlitli chrrrr"". Call a mewing, nasal ""meewe"". Flight call a long, thin buzz ""zeereesh""; rougher and more level than other towhees.",,,
508,Emberizidae,Spotted Towhee,Pipilo maculatus,8.5,"Song varies geographically; zero to eight identical introductory notes followed by a harsh or buzzy, rapid trill; buzzier and less varied than Eastern; Pacific Northwest gives a simple buzzy trill ""che zheeeee"" or ""chzchzchzchzchz""; Southwest similar to Great Plains but averages fewer introductory notes followed by slower trill. Calls of two distinct types: Pacific Northwest and Great Plains give a harsh, rising, growling ""zhreeee""; Southwest a harsher, descending ""grreeer"". Flight call a high, thin buzz ""zeeeeeweee"" like Eastern.",,,
509,Emberizidae,Eastern Towhee,Pipilo erythrophthalmus,8.5,"Song typically one to three short, husky introductory notes followed by slow, musical trill ""jink denk te-e-e-e-e-e-e"" (""drink your teeeea""); much variation in details. Call typically a strongly rising ""chewink"" or ""zhwink"" with husky, nasal quality. Flight call a long, thin buzz ""zeeeeweee"".",,,
510,Emberizidae,California Towhee,Melozone crissalis,9,"Song an accelerating series of high, flat ""teek"" notes, sometimes with lower notes near end: ""teek teek teek eek eekeekeekeek t-t-t-t-teek"". Call a high, hard, flat ""teek"". Flight call a high, buzzy ""zeeeee"".",,,
510,Emberizidae,Canyon Towhee,Melozone fusca,9,"Song a simple, methodical, low trill of short, whistled notes introduced by call note ""kild ti ti ti ti ti ti ti kil"" or ""kild tiwi tiwi tiwi tiwi tiwi""; lower than California and Albert's. Call a nasal, dry ""kidl"" or loud; tinny ""kilt""; also a dry, clicking ""ch-ch-ch-ch"". Flight call a high, buzzy ""zeeeee"".",,,
511,Emberizidae,Albert's Towhee,Melozone alberti,9.5,"Song of high, flat notes followed by an accelerating jumble of stuttering, harsh notes ""tuk teek teek teek chi-ch-chi-chi-kll"". Call a high, flat ""teek"" lower than California; also a very high clear ""seeeep"".",,,
511,Emberizidae,Rufous-crowned Sparrow,Aimophila ruficeps,6,"Song a slightly husky, mumbled, descending chatter; reminiscent of House Wren in pattern and tempo but huskier, less gurgling. Call a nasal, laughing ""deer deer deer deer""; also a long chatter and a sharp, high ""zeeet"".",,,
512,Emberizidae,Rufous-winged Sparrow,Peucaea carpalis,5.75,"Song variable in pattern but always sweet, clear notes; two common patterns: an accelerating series of chips ""tip tip-tiptptptptp"" and a simple ""tip tip tee trrrrrrrrr"". Alarm call a very high, piercing ""tsiddp"".",,,
512,Emberizidae,Cassin's Sparrow,Peucaea cassinii,6,"Song given mainly in flight: four plaintive, trilled whistles with long, level second note ""tsisi seeeeeeeee ssoot ssiit"". Call a very high, abrupt ""teep""; also very high, sharp chips; sometimes a series of squeaks when agitated.",,,
513,Emberizidae,Botteri's Sparrow,Peucaea botterii,6,"Song a varied, slow series of sharp, whistled notes ending with accelerating trill ""tik tik swidi trrr trik tidik tew tew twit-witiititttttttt""; each note in trill sharp and rising (vs. lower and descending notes of Olive Sparrow). Call a high, sharp chip or rapid chatter.",,,
513,Emberizidae,Bachman's Sparrow,Peucaea aestivals,6,"Song a simple, clear whistle with a musical trill on a different pitch; successive songs differ slightly in pitch and trill: ""feeeee-trrrr, sooo-treee…"". Call of high ""tsip"" notes. When flushed may give piercing, sharp ""tsees""; when agitated an extremly high-pitched ""tsisisisisi"".",,,
514,Emberizidae,Black-chinned Sparrow,Spizella atrogularis,5.75,"Song of high, sharp, slurred notes accelerating to rapid trill; higher and more mechanical than Field Sparrow; final trill usually rising. Call a high, weak ""stip"". Flight call a soft ""ssip"" similar to Chipping Sparrow.",,,
515,Emberizidae,American Tree Sparrow,Spizella arborea,6.25,"Song a very sweet, clear, high warble with descending trend ""swee swee ti sidi see zidi zidi zew""; slightly buzzy at end; occasionally heard in winter. Common call a unique soft, jingling ""teedleoo"", forming a delicate chorus from winter flocks. Flight call a high, sharp ""tsiiw""; similar to Field Sparrow but only slightly descending.",,,
515,Emberizidae,Field Sparrow,Spizella pusilla,5.75,"Song an accelerating series of soft, sweet whistles ""teew teew tew tew tewtewtetetetetitititititi"". Call clear and rather strong like Orange-crowned Warbler; stronger than Chipping Sparrow. Flight call a distinctive, descending, clear ""tseeew"".",,,
516,Emberizidae,Brewer's Sparrow,Spizella breweri,5.5,"Song a long, varied series of trills and buzzes, overall descending: ""zerr-zerr-zerr tir-tir-tir-tir cheeeeeeee deee-deee-deee zrr-zrr-zrr-zrr zreeeee…""; some notes are high, clear, and musical, and others are low and rasping like Clay-colored. Call a high, sharp ""tsip"" like other Spizella sparrows. Flight call rising, short, and weak, with abrupt ending: ""swit"".",,,
517,Emberizidae,Clay-colored Sparrow,Spizella pallida,5.5,"Song a series of two to five rasping buzzes on one pitch ""zheee zheee zheee"". Call a high, sharp ""tsip"" like other Spizella sparrows. Flight call a short, rising ""swit"" similar to Brewer's.",,,
517,Emberizidae,Chipping Sparrow,Spizella passerina,5.5,"Song a simple, rather long and mechanical trill; usually longer and more rattling than similar songs of others species. Call a sharp chip like other Spizella sparrows. Flight call a high, thin, slightly rising ""tsils"".",,,
518,Emberizidae,Bell's Sparrow,Artemisiospiza belli,5.5,"Song a bright, finch-like warble, rising and falling rapidly with notes run together in tempo reminiscent of Blue Grosbeak, no sharp notes on accented phrases; higher-pitched and more rapid than Sagebrush. Calls include very high, thin ""tip"" or ""tink"" notes singly or in series.",,,
518,Emberizidae,Sagebrush Sparrow,Artemisiospiza nevadensis,6,"Song finch-like, a short, mumbled, sing-song warble of relatively low-pitched trills, rising and falling in pitch with no strong pattern; similar to Bell's but with slower, jerky and halting tempo. Calls like Bell's.",,,
519,Emberizidae,Black-throated Sparrow,Amphispiza bilineata,5.5,"Song a short, simple, mechanical tinkling ""swik swik sweeee te-errrr"" or ""tip tik "" to ""tik tik trr tredrrrrr""; also rapid repetitions of tinkling phrases on different pitches ""teeteetee, tototo, tletletle…"". Call of high, weak, tinkling notes: a hard, bell-like ""tip""; also series of high ""tee"" notes.",,,
519,Emberizidae,Five-striped Sparrow,Amphispiza quinquestriata,6,"Song of short, high, liquid or tinkling phrases, each repeated two or more times, then a pause and another series ""tlik, kleesh kleesh; tiees tiees; chik sedlik sedlik; kwij kwij kwij…"". Call a husky ""terp""; occasionally a higher, dry ""chik"" or very high ""tip"".",,,
520,Emberizidae,Savannah Sparrow,Passerculus sandwichensis,5.5,"Song of high, fine buzzes, each one lower-pitched than the preceding ""ti ti ti tseeeeeee tisoooo""; harsher and lower than Grasshopper, with final low buzz; often a simpler ""ttt tzeeeeeeee tzz"". Call a very high, sharp ""stip"". Flight call a high, thin, weak ""tsiw"" similar to Spizella sparrows but descending and fading. Limited geographc variation in song.",,,
521,Emberizidae,Savannah Sparrow (Large-billed),Passerculus sandwichensis,5.5,"Song three rich buzzes ""zaaaaaa zooooooo zeeee"" bearing little resemblance to other populations of Savannah Sparrow; other songs closer to typical Savannah in pattern but fuller-sounding. Flight call a little longer and lower-pitched.",,,
521,Emberizidae,Vesper Sparrow,Pooecetes gramineus,6.25,"Song begins with paired low whistles then slow, musical trills accelerating and descending ""too too tee tee chidididididi swiswi-swiswiteew""; similar to Song Sparrow. Call a sharp chip, lower and harder than Savannah. Flight call a slightly buzzy, rising, sharp ""ssit"" or ""seeet"".",,,
522,Emberizidae,Grasshopper Sparrow,Ammodramus savannarum,5,"Song a very high, hissing, insectlike buzz preceded by weak ""tik"" otes ""tik tuk tikeeeeeeeeeez""; also a rolling jumble of high, buzzy, slurred phrases. Call a very high, thin, sharp ""tip""; usually rapidly doubled or tripled ""titip"". Flight call a sharp, high, rising ""tswees"". ",,,
522,Emberizidae,Baird's Sparrow,Ammodramus bairdii,5.5,"Song high, clear jingling; several high, clear ""tink"" notes followd by clear, musical trill ""tik a ti tleeeeee"". Call a very high, weak ""teep"". Flight call a high, thin ""tsee""; higher than Grasshopper.",,,
523,Emberizidae,Henslow's Sparrow,Ammodramus henslowii,5,"Song a dry, insect-like, feeble hiccup ""tsezlik"" or ""tsillik"". Call a high, sharp ""tsik"". Flight call a high, almost waxwinglike trill ""sreee"".",,,
523,Emberizidae,Le Conte's Sparrow,Ammodramus leconteii,5,"Song a hissing, unmusical buzz ""tik a t-sshhhhhhhh-t""; softer, higher, more hissing than Grasshopper Sparrow; sharp introductory notes unlike Nelson's. Call a high, thin, descending ""tseeez"".",,,
524,Emberizidae,Nelson's Sparrow,Ammodramus nelsoni,5,"Song a weak, soft, airy, fading hiss with slightly lower notes at beginning and end ""pl-teshhhhh-ush"" (compare Le Conte's). Call a hard ""tek"" higher and harder than Seaside. Flight call a high, lisping ""ssis"". Flight song a series of sharp chips followed by typical song during higher flight.",,,
524,Emberizidae,Saltmarsh Sparrow,Ammodramus caudacutus,5.25,"Song much softer than Nelson's, less frequently heard; includes sweet gurgling notes and lacks final lower note; usually repeated in rapid sequence. Calls presumably like Nelson's. Flight song a series of weak songs, all different, delivered rapidly during low flight.",,,
525,Emberizidae,Seaside Sparrow,Ammodramus maritimus,6,"Song a rather muffled ""tup teetle-zhrrrr""; more complex and fuller-sounding than Sharp-tailed Sparrows; reminiscent of song of distant Red-winged Blackbird. Call a low, husky ""tup"". Flight call a long, thin, towheelike ""buzz zeeeooee"".",,,
526,Emberizidae,Fox Sparrow (Sooty),Passerella iliaca,7,"Song a long, irregular series with widely separated notes at beginning ""wit; tip; swit, wit swit-swi teer zeep-zet-zet-zweeer""; buzzier, thinner, and more staccato than Red; individuals sing same song repeatedly. Calls like Red.",,,
526,Emberizidae,Fox Sparrow (Thick-billed),Passerella iliaca,7,"Song variable but basically similar to other forms: one to three syllables with bubbling warble and one to four ending notes; individuals sing multiple songs, usually alternating among different songs; quality may suggest House Finch or Blue Grosbeak. Call a high, flat squeak ""teep"" like California Towhee.",,,
527,Emberizidae,Fox Sparrow (Slate-colored),Passerella iliaca,7,"Song clear and ringing; every other note emphasized, some buzzy or trilled; often similar to Green-tailed Towhee; individuals sing two to five different songs, never the same song twice in a row. Call a sharp smack like Sooty and Red populations.",,,
527,Emberizidae,Fox Sparrow (Red),Passerella iliaca,7,"Song a somewhat halting, relatively low, rich warble; richest and most melodious of all sparrows; mainly clear whistles, lacking trills or rapidly repeated notes ""weet weeto teeoo teeo tzee tzer zezer reep""; individuals sing only one song. Call a very hard, sharp smack like Brown Thrasher. Flight call a high, sharp, rising ""seeeep"".",,,
